gCSD16_DEN_10	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gCSD16_DEN_7	NA	NODE_3300_length_1098_cov_3.149569	90	935	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_031916103.1	streptomycin adenylyltransferase Str	NA	NA
gCSD16_DEN_7	NA	NODE_352_length_5881_cov_8.295057	1018	2772	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	585	585	100.00	100.00	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_DEN_7	NA	NODE_352_length_5881_cov_8.295057	2765	3142	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_DEN_7	NA	NODE_352_length_5881_cov_8.295057	69	911	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	99.64	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_DEN_7	NA	NODE_4557_length_901_cov_7.282506	2	373	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	124	126	98.41	95.97	124	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_DEN_7	NA	NODE_48686_length_304_cov_2.405622	80	304	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	75	142	52.82	94.67	75	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_DEN_7	NA	NODE_633_length_3614_cov_3.592582	3	215	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	71	142	50.00	95.77	71	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_DEN_7	NA	NODE_894_length_2677_cov_10.174294	1767	2609	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	94.66	281	WP_000733281.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_DEN_7	NA	NODE_95_length_13305_cov_17.703094	10496	11959	-	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.80	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_DEN_7	NA	NODE_95_length_13305_cov_17.703094	5904	7445	-	qacB	quaternary ammonium compound efflux MFS transporter QacB	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.42	514	WP_000622778.1	quaternary ammonium compound efflux MFS transporter QacB	NA	NA
gCSD16_DEN_7	NA	NODE_95_length_13305_cov_17.703094	9744	10394	-	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIALX	217	299	72.58	99.54	217	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_DEN_7	NA	NODE_978_length_2501_cov_40.400654	2085	2405	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_8	NA	NODE_39072_length_265_cov_0.766667	1	264	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	88	126	69.84	94.32	88	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_1	NA	NODE_10085_length_846_cov_1.825537	3	845	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	281	522	53.83	99.29	281	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_1	NA	NODE_1093_length_2593_cov_3.850670	580	1407	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	276	276	100.00	99.64	276	WP_004728961.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-282	NA	NA
gCSD16_NYC_1	NA	NODE_1094_length_2592_cov_6.763894	56	376	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_1	NA	NODE_1333_length_2390_cov_3.824411	1	930	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	310	585	52.99	97.42	310	WP_001096376.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_1	NA	NODE_1333_length_2390_cov_3.824411	1037	1879	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	99.64	281	WP_000733289.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_1	NA	NODE_13943_length_715_cov_1.518182	2	715	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	238	284	83.80	97.90	238	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_1	NA	NODE_153842_length_329_cov_1.226277	1	327	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDX	109	180	60.56	100.00	109	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
gCSD16_NYC_1	NA	NODE_19521_length_612_cov_2.818671	75	557	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_1	NA	NODE_2183_length_1895_cov_3.530978	846	1223	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_1	NA	NODE_346_length_4908_cov_21.773336	1985	2866	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_1	NA	NODE_346_length_4908_cov_21.773336	454	1926	+	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NA	NA
gCSD16_NYC_1	NA	NODE_4305_length_1340_cov_3.476265	47	778	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_1	NA	NODE_4666_length_1287_cov_3.754870	807	1286	-	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	160	176	90.91	90.00	160	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_1	NA	NODE_5540_length_1176_cov_1.996432	2	790	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	263	514	51.17	100.00	263	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_1	NA	NODE_6744_length_1053_cov_2.196393	239	766	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	176	176	100.00	99.43	176	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_1	NA	NODE_8488_length_932_cov_3.156214	246	932	-	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIAL_CONTIG_ENDX	229	383	59.79	100.00	229	WP_004886093.1	extended-spectrum class C beta-lactamase ADC-130	NA	NA
gCSD16_NYC_1	NA	NODE_863933_length_235_cov_1.977778	3	233	-	fosF	fosfomycin resistance glutathione transferase FosF	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	77	132	58.33	93.51	77	WP_063851231.1	fosfomycin resistance glutathione transferase FosF	NA	NA
gCSD16_NYC_1	NA	NODE_914804_length_233_cov_1.078652	24	233	+	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	PARTIAL_CONTIG_ENDX	70	134	52.24	100.00	70	WP_001242578.1	bleomycin binding protein	NA	NA
gCSD16_NYC_1	NA	NODE_9237_length_889_cov_1.723022	385	888	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	168	245	68.57	100.00	168	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
gCSD16_NYC_1	NA	NODE_9305_length_885_cov_3.002410	1	798	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	266	276	96.38	99.62	266	WP_004814035.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-276	NA	NA
gCSD16_NYC_10	NA	NODE_112128_length_545_cov_1.718367	3	497	+	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	165	243	67.90	99.39	165	WP_000810833.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NA	NA
gCSD16_NYC_10	NA	NODE_117514_length_536_cov_2.180873	2	535	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	178	279	63.80	100.00	178	WP_000259018.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
gCSD16_NYC_10	NA	NODE_1266_length_3087_cov_16.126649	2231	3073	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	98.93	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_10	NA	NODE_1266_length_3087_cov_16.126649	3	377	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	125	126	99.21	99.20	125	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_10	NA	NODE_1266_length_3087_cov_16.126649	370	2124	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.00	99.83	585	WP_001096392.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_10	NA	NODE_1606_length_2734_cov_12.772303	249	1814	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	522	522	100.00	99.81	522	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_10	NA	NODE_17485_length_1020_cov_2.490155	3	1016	+	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	core	AMR	AMR	BETA-LACTAM	METHICILLIN	PARTIAL_CONTIG_ENDX	338	668	50.60	99.41	338	WP_000721306.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NA	NA
gCSD16_NYC_10	NA	NODE_1749952_length_237_cov_5.120879	71	235	+	qacZ	quaternary ammonium compound efflux SMR transporter QacH	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	55	107	51.40	98.18	55	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH	NA	NA
gCSD16_NYC_10	NA	NODE_1997_length_2472_cov_14.594539	172	903	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	244	244	100.00	99.59	244	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_10	NA	NODE_203685_length_443_cov_4.090206	2	442	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	147	281	52.31	96.60	147	WP_000733281.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_10	NA	NODE_20411_length_969_cov_2.471554	82	348	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIALX	89	142	62.68	94.38	89	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_10	NA	NODE_220195_length_432_cov_1.469496	3	431	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	143	282	50.71	100.00	143	WP_031916103.1	streptomycin adenylyltransferase Str	NA	NA
gCSD16_NYC_10	NA	NODE_272088_length_402_cov_14.475504	2	388	+	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	129	253	50.99	98.45	129	WP_032488331.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_10	NA	NODE_275_length_6218_cov_8.643518	1666	2880	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_NYC_10	NA	NODE_275_length_6218_cov_8.643518	3003	4463	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_10	NA	NODE_341195_length_374_cov_2.062696	2	373	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	124	245	50.61	100.00	124	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
gCSD16_NYC_10	NA	NODE_3832_length_1802_cov_17.410990	307	1770	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.39	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_10	NA	NODE_393521_length_357_cov_5.337748	3	299	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	99	161	61.49	98.99	99	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_10	NA	NODE_4300_length_1715_cov_3.154819	590	1471	+	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.00	100.00	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NA	NA
